title,rating,nigth_cost,date,details
"Rio de Janeiro, Brazil",4.43,$64,May 19 – 24,"15,179 kilometers away"
"Dangriga, Belize",4.6,"$7,418 ",Aug 14 – 19,"15,501 kilometers away"
"Kaskinen, Finland",4.76,$166,May 23 – 30,"6,619 kilometers away"
"Skradin, Croatia",4.77,$107,May 20 – 25,"6,997 kilometers away"
"Camp Island, Australia",4.57,"$2,189 ",May 25 – 30,"7,891 kilometers away"
"Malören, Sweden",4.48,$162,May 20 – 27,"6,559 kilometers away"
"Cavinti, Philippines",4.78,$227,Jun 12 – 17,3.7 hectares
"Fræna kommune, Norway",4.64,$53,May 19 – 24,10 hectares
"Rio de Janeiro, Brazil",4.64,$771,May 21 – 26,"6,000 square meters"
"Cassadaga, New York, US",4.79,$287,May 21 – 26,0 square meters
"Oskarshamn S, Sweden",4,$241,May 21 – 26,"2,000 square meters"
"Outer Sheep Island, Canada",4.77,$107,May 22 – 27,15 hectares
"Lancaster, UK",4.77,$414,Jun 4 – 9,"8,091 kilometers away"
"Saint-Laurent-des-Hommes, France",4.72,$215,Sep 24 – 29,"1,000 square meters"
"Hopkins, Belize",3.33,"$2,291 ",Jul 24 – 29,1.9 hectares
"Belize City, Belize",4.38,$230,May 19 – 24,15 hectares
"Bora Bora, French Polynesia",4.8,$747,May 31 – Jun 5,18 hectares
"Cartagena, Colombia",4.38,"$1,545 ",May 20 – 25,"1,000 square meters"
"Sarasota, Florida, US",4.44,$252,Jun 1 – 6,"3,000 square meters"
"Venice, Florida, US",4.8,$171,May 22 – 29,"14,314 kilometers away"
"Nym Lake, Canada",4.8,$251,Jul 8 – 13,"5,000 square meters"
"Custonaci, Italy",4.45,$235,Jul 9 – 14,"7,375 kilometers away"
"Bora-Bora, French Polynesia",4.63,$625,May 19 – 24,18 hectares
"Kaskinen, Finland",4.42,$135,May 23 – 30,"6,619 kilometers away"
"Gildeskål, Norway",4.33,$854,Jun 30 – Jul 5,36 hectares
"West Waigeo, Indonesia",4.72,$130,May 20 – 25,89 hectares
"Gildeskål, Norway",4.5,$854,Jun 30 – Jul 5,36 hectares
"Kaskinen, Finland",4.8,$135,May 23 – 30,"6,619 kilometers away"
"West Waigeo, Indonesia",4.17,$130,May 20 – 25,89 hectares
"East Hampton, Connecticut, US",4.55,$571,May 21 – 26,2 hectares
"Cavinti, Philippines",4.79,$105,May 21 – 26,"3,435 kilometers away"
"Gildeskål, Norway",4,$189,Jun 18 – 23,36 hectares
"Zona Rural, Brazil",4.72,"$1,291 ",Aug 1 – 6,"15,563 kilometers away"
"Beaufort, South Carolina, US",4.86,$259,Aug 16 – 22,10 hectares
"Angra dos Reis, Brazil",4.84,$172,May 20 – 27,"15,417 kilometers away"
"Guna Yala Comarca, Panama",4.46,$66,May 19 – 24,"2,000 square meters"
"Gravenhurst, Canada",4.42,$448,May 22 – 27,1.7 hectares
"Vaxholm, Sweden",4.57,$488,Aug 12 – 17,43 hectares
"Granada, Nicaragua",4.65,$223,May 21 – 26,"7,000 square meters"
"Dalarö, Sweden",4.65,$819,Jun 12 – 17,"6,733 kilometers away"
"Steinkjer, Norway",4.71,$191,May 22 – 27,"7,101 kilometers away"
"Lancashire, UK",4.84,$406,May 19 – 24,"8,091 kilometers away"
"Savusavu, Fiji",4.73,$571,May 21 – 26,11 hectares
"Monmouth, Maine, US",4.6,$141,Jun 4 – 9,"12,198 kilometers away"
"Øygarden kommune, Norway",4.7,$279,May 20 – 26,"1,000 square meters"
"Fort Myers, Florida, US",4.92,"$2,064 ",May 21 – 26,"3,000 square meters"
"El Nido, Philippines",5,$470,May 21 – 26,2.9 hectares
"Malax, Finland",4.96,$426,May 21 – 26,2.4 hectares
"El Nido, Philippines",5,$74,Jun 2 – 7,7 hectares
"Cavinti, Philippines",4.92,$117,May 29 – Jun 3,"3,431 kilometers away"
"Cavinti, Philippines",4.91,$163,May 21 – 26,3.7 hectares
"Piliyandala, Sri Lanka",4.98,$342,May 22 – 27,"4,000 square meters"
"Cavinti, Philippines",New,$72,May 21 – 26,"3,431 kilometers away"
"Lumban, Philippines",4.94,$449,May 21 – 26,"3,426 kilometers away"
"Dhangethi, Maldives",4.94,$78,May 23 – 28,"2,918 kilometers away"
"El Nido, Philippines",4.88,$479,May 20 – 25,"3,366 kilometers away"
"El Nido, Philippines",None,$143,Jun 1 – 6,"3,356 kilometers away"
"El Nido, Philippines",None,$101,May 26 – 31,78 hectares
"Chauve Souris, Seychelles",None,$493,Aug 8 – 13,"8,000 square meters"
"Bulalacao, Philippines",None,$11,May 20 – 25,213 hectares
"Phuket, Thailand",None,$831,May 23 – 29,22 hectares
"Kaukuri, Finland",None,$108,Jun 1 – 6,"6,472 kilometers away"
"Tambon Chalong, Thailand",None,$247,May 20 – 25,460 hectares
"Hangö, Finland",None,$161,May 27 – Jun 3,1.5 hectares
"Langkawi, Malaysia",None,$189,May 21 – 26,6.5 hectares
"Muang, Thailand",None,$57,May 20 – 26,136 hectares
"El Nido, Philippines",None,$218,May 26 – Jun 1,"3,355 kilometers away"
"Savonlinna, Finland",None,$148,Aug 1 – 6,"7,000 square meters"
"SC, Seychelles",None,$308,Jul 4 – 9,"8,000 square meters"
"Banda Island, Uganda",None,$30,May 21 – 28,80 hectares
"El Nido, Philippines",None,$143,Jun 1 – 7,"3,355 kilometers away"
"San Blas, Mexico",None,$355,May 20 – 25,"7,000 square meters"
"Badachro, UK",None,$213,Aug 12 – 17,2 hectares
"Södertälje SO, Sweden",None,$503,May 20 – 25,"1,000 square meters"
"Murter, Croatia",None,$247,Jun 23 – 30,5.5 hectares
"Prado, Colombia",None,$225,May 21 – 26,"3,000 square meters"
"Sandefjord, Norway",None,$844,May 20 – 27,"4,000 square meters"
"Sioux Narrows-Nestor Falls, Canada",None,$285,May 20 – 25,4 hectares
"Värmdö NV, Sweden",None,$233,May 27 – Jun 3,3.1 hectares
"Granada, Nicaragua",None,$151,May 30 – Jun 4,"8,000 square meters"
"Žižanj, Croatia",None,$166,May 19 – 26,74 hectares
"Glanshammar, Sweden",None,$195,Jun 16 – 22,"2,000 square meters"
"Cavinti, Philippines",None,$56,May 21 – 26,"3,431 kilometers away"
"Little Corn Island, Nicaragua",None,$92,May 19 – 24,296 hectares
"Bora-Bora, French Polynesia",None,$743,May 30 – Jun 4,18 hectares
"Ontario, Canada",None,$254,Jun 17 – 22,"4,000 square meters"
"Bora Bora, French Polynesia",None,$508,Dec 23 – 28,"13,520 kilometers away"
"Alcúdia, Spain",None,$116,May 31 – Jun 7,"8,124 kilometers away"
"Tola, Nicaragua",None,$245,May 20 – 25,"16,095 kilometers away"
"Bigfork, Montana, US",None,$733,May 31 – Jun 5,2.6 hectares
"Taha'a, French Polynesia",None,$106,Aug 11 – 16,"13,556 kilometers away"
"Badachro, UK",None,$213,Jun 24 – 29,2 hectares
"Angra dos Reis , Brazil",None,$26,May 19 – 24,"15,435 kilometers away"
"Isletas de Granada, Nicaragua",None,$407,May 22 – 27,"2,000 square meters"
"Kenora, Canada",None,$550,May 28 – Jun 2,3.6 hectares
"La Pointe, Wisconsin, US",None,$437,May 29 – Jun 3,"12,170 kilometers away"
"Mackinac Island, Michigan, US",None,$284,Oct 9 – 14,"12,262 kilometers away"
"Isla Grande, Panama",None,$257,May 19 – 24,88 hectares
"Maupiti, French Polynesia",None,$112,Jun 13 – 18,"13,471 kilometers away"
"Vela Luka, Croatia",None,$115,May 19 – 24,20 hectares
"Rangiroa, French Polynesia",None,$217,May 29 – Jun 3,"13,892 kilometers away"
"La Retraite, Trinidad & Tobago",None,$597,May 20 – 25,"15,132 kilometers away"
"PA, Panama",None,$208,Jun 1 – 6,"16,138 kilometers away"
"Granada, Nicaragua",None,$172,Feb 1 – 6,"28,344 hectares"
"Everglades City, Florida, US",None,$134,Jun 4 – 9,"14,433 kilometers away"
"Hammond, New York, US",None,$217,Jun 10 – 17,"12,307 kilometers away"
"Nosy Be, Madagascar",None,$283,May 27 – Jun 1,"6,160 kilometers away"
"Chertsey, Canada",None,$163,May 28 – Jun 2,"12,087 kilometers away"
"Eastsound, Washington, US",None,$435,Jun 18 – 23,"11,310 kilometers away"
"South Kepulauan Seribu, Indonesia",None,$87,May 20 – 27,"3,719 kilometers away"
"Malay, Philippines",None,$151,Jul 23 – 30,"3,570 kilometers away"
"Lansdowne, Canada",None,$325,May 20 – 25,"12,321 kilometers away"
"Puno, Peru",None,$86,May 19 – 24,"17,785 kilometers away"
"Nananu-i-Ra, Fiji",None,$325,May 27 – Jun 3,"10,558 kilometers away"
"Mayers Flat, Australia",None,$143,May 21 – 26,"9,060 kilometers away"
"Granada, Nicaragua",None,$342,May 26 – 31,"2,000 square meters"
"Vinalhaven, Maine, US",None,$505,May 21 – 26,"12,183 kilometers away"
"Doe Island, Quathiaski Cove, Canada",None,$341,May 19 – 24,"11,090 kilometers away"
"Placencia, Belize",None,$325,May 19 – 24,"3,000 square meters"
"Piúva, Brazil",None,$39,May 26 – 31,"15,535 kilometers away"
"Sharbot Lake, Canada",None,$135,May 21 – 26,9 hectares
"Tupile, Panama",None,$102,May 19 – 25,44 hectares
"Vaitāpē, French Polynesia",None,$97,Aug 9 – 15,"13,524 kilometers away"
"Cartagena, Colombia",None,$517,May 27 – Jun 1,"15,955 kilometers away"
"Krupac Lake, Montenegro",None,$86,Jun 1 – 6,"6,773 kilometers away"
"Lapu-Lapu City, Philippines",None,$372,May 20 – 25,"3,863 kilometers away"
"Lapu-Lapu City, Philippines",None,$372,May 20 – 25,"3,863 kilometers away"
"Gilford, New Hampshire, US",None,$570,Jul 5 – 12,2.7 hectares
"Manyana, Australia",None,$350,May 20 – 25,"9,110 kilometers away"
"Todos Santos, Mexico",None,$518,Jun 5 – 10,"14,316 kilometers away"
